VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
315,"Saturn V",NASA,https://en.wikipedia.org/wiki/Saturn_V,Retired,35100,140,3,0,110.6,1160,0,NaN,NaN,Saturn V
316,"Scout B",Vought,https://en.wikipedia.org/wiki/Scout_(rocket_family),Retired,622,0.143,4,0,21,NaN,0,NaN,NaN,Scout
317,"Scout B1",Vought,https://en.wikipedia.org/wiki/Scout_(rocket_family),Retired,622,0.129,4,0,21,NaN,0,NaN,NaN,Scout
318,"Scout D1",Vought,https://en.wikipedia.org/wiki/Scout_(rocket_family),Retired,622,0.185,4,0,21,NaN,0,NaN,NaN,Scout
319,"Scout F1",Vought,https://en.wikipedia.org/wiki/Scout_(rocket_family),Retired,622,0.193,4,0,21,NaN,0,NaN,NaN,Scout
320,"Scout G1",Vought,https://en.wikipedia.org/wiki/Scout_(rocket_family),Retired,622,0.21,4,0,21,NaN,0,NaN,NaN,Scout
321,"Scout X-1",NASA,https://en.wikipedia.org/wiki/Scout_X-1,Retired,NaN,0,4,NaN,25,NaN,0,NaN,NaN,Scout
322,"Scout X-2",NASA,https://en.wikipedia.org/wiki/Scout_X-2,Retired,440,0.076,4,NaN,25,NaN,0,NaN,NaN,Scout
323,"Scout X-2B",NASA,https://en.wikipedia.org/wiki/Scout_X-2B,Retired,NaN,0,4,NaN,22,NaN,0,NaN,NaN,Scout
324,"Scout X-2M",NASA,https://en.wikipedia.org/wiki/Scout_X-2M,Retired,440,0,4,NaN,22,NaN,0,NaN,NaN,Scout
325,"Scout X-3",NASA,<undefined>,Retired,NaN,0.087,NaN,NaN,NaN,NaN,0,NaN,NaN,Scout
326,"Scout X-3M",NASA,<undefined>,Retired,NaN,0,4,NaN,22,NaN,0,NaN,NaN,Scout
327,"Scout X-4",NASA,<undefined>,Retired,NaN,0.103,4,NaN,25,NaN,0,NaN,NaN,Scout
328,"Shavit",IAI,https://en.wikipedia.org/wiki/Shavit,Retired,413,0.16,3,0,18,NaN,0,1.3,4.37,Shavit
329,"Shavit-1",IAI,https://en.wikipedia.org/wiki/Shavit,Retired,554,0.225,3,0,20,NaN,0,1.35,4.37,Shavit
330,"Shavit-2",IAI,https://en.wikipedia.org/wiki/Shavit,Active,554,0.35,3,0,22,NaN,0,1.35,4.37,Shavit
331,"Shtil'",Makeyev,https://en.wikipedia.org/wiki/Shtil%27,Retired,NaN,0.1,3,0,15,NaN,0,NaN,NaN,Shtil'
332,"Simorgh",ISA,https://en.wikipedia.org/wiki/Simorgh_(rocket),Active,1300,0.35,2,0,27,NaN,0,NaN,NaN,Simorgh
333,"SLS Block 1",NASA,https://en.wikipedia.org/wiki/Space_Launch_System,Planned,39440,95,2,2,98.1,1500,0,5.1,14.3,SLS Block 1
334,"SLV-3",ISRO,https://en.wikipedia.org/wiki/Satellite_Launch_Vehicle,Retired,503,0.04,4,0,22,NaN,0,1,NaN,SLV-3
335,"SM-65B Atlas",US Air Force,https://en.wikipedia.org/wiki/SM-65B_Atlas,Retired,NaN,0.07,2,0,26,NaN,0,NaN,NaN,SM-65B Atlas
336,"Soyuz",OKB-1,https://en.wikipedia.org/wiki/Soyuz_(rocket),Retired,994,6.45,2,4,45.6,NaN,0,NaN,NaN,Soyuz
337,"Soyuz 2.1a",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,7.02,3,4,NaN,48.5,0,3.7,7.7,Soyuz 2.1
338,"Soyuz 2.1a/Fregat",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,0,4,4,42.5,48.5,2.81,3.7,7.7,Soyuz 2.1
339,"Soyuz 2.1a/Fregat-M",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1a,Active,4150,0,4,4,42.5,48.5,2.81,3.7,7.7,Soyuz 2.1
340,"Soyuz 2.1a/Volga",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,0,4,4,NaN,NaN,0,3.7,7.7,Soyuz 2.1
341,"Soyuz 2.1b",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,8.02,3,4,NaN,35,0,3.7,7.7,Soyuz 2.1
342,"Soyuz 2.1b/Fregat",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,0,4,4,42.5,48.5,3.25,3.7,7.7,Soyuz 2.1
343,"Soyuz 2.1b/Fregat-M",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,0,4,4,42.5,NaN,3.25,3.7,7.7,Soyuz 2.1
344,"Soyuz 2.1v",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2-1v,Active,NaN,2.85,3,0,NaN,NaN,0,3.7,7.7,Soyuz 2.1
345,"Soyuz 2.1v/Volga",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2-1v,Active,NaN,2.85,4,0,NaN,NaN,0,3.7,7.7,Soyuz 2.1
346,"Soyuz 5",RKK Energiya,https://en.wikipedia.org/wiki/Irtysh_(rocket),Planned,7257,17,2,0,61.9,NaN,5,4.1,NaN,Soyuz 5
347,"Soyuz 5/Fregat SBU",RKK Energiya,https://en.wikipedia.org/wiki/Irtysh_(rocket),Planned,7257,17,3,0,61.9,NaN,5,4.1,NaN,Soyuz 5/Fregat SBU
348,"Soyuz 6",Roscosmos,<undefined>,Planned,NaN,9,NaN,0,NaN,NaN,0,NaN,NaN,Soyuz 6
349,"Soyuz 7",Roscosmos,https://en.m.wikipedia.org/wiki/Soyuz-7_(rocket),Planned,NaN,13,NaN,0,NaN,NaN,0,NaN,NaN,Soyuz 7
350,"Soyuz FG",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-FG,Retired,4056,6.9,3,4,49.5,NaN,0,NaN,NaN,Soyuz FG
351,"Soyuz FG/Fregat",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-FG,Retired,NaN,7.8,3,4,42.5,NaN,0,NaN,NaN,Soyuz FG
352,"Soyuz L",OKB-1,https://en.wikipedia.org/wiki/Soyuz-L,Retired,4054,5.5,2,4,50,NaN,0,3.8,NaN,Soyuz L
353,"Soyuz M",OKB-1,https://en.wikipedia.org/wiki/Soyuz-M,Retired,995,6.6,2,4,50,NaN,0,NaN,NaN,Soyuz M
354,"Soyuz ST-A/Fregat",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,0,4,4,46.2,80,2.81,4.11,11.4,Soyuz ST
355,"Soyuz ST-A/Fregat-M",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2,Active,4150,0,4,4,46.2,NaN,2.81,4.11,11.4,Soyuz ST
356,"Soyuz ST-B/Fregat-M",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b,Active,4150,0,4,4,46.2,NaN,3.25,4.11,11.4,Soyuz ST
357,"Soyuz ST-B/Fregat-MT",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b,Active,NaN,0,4,4,46.2,NaN,3.25,4.11,11.4,Soyuz ST
358,"Soyuz U",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-U,Retired,4147,6.9,3,4,51.1,NaN,0,3.7,7.7,Soyuz U
359,"Soyuz U2",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-U2,Retired,NaN,7.05,2,4,34.5,NaN,0,NaN,NaN,Soyuz U2
360,"Soyuz U/Fregat",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-U,Retired,NaN,6.9,3,4,46.7,NaN,0,NaN,NaN,Soyuz U/Fregat
361,"Soyuz U/Ikar",RKK Energiya,https://en.wikipedia.org/wiki/Soyuz-U,Retired,NaN,6.9,3,4,47.3,NaN,0,NaN,NaN,Soyuz U/Ikar
362,"Space Shuttle Atlantis",NASA,https://en.wikipedia.org/wiki/Space_Shuttle_Atlantis,Retired,30250,27.5,2,2,56.1,450,3.81,NaN,NaN,Space Shuttle
