VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
170,"Falcon 9 v1.0",SpaceX,https://en.wikipedia.org/wiki/Falcon_9_v1.0,Retired,4940,10.45,2,0,54.9,59.5,4.54,5.2,13,Falcon 9
171,"Falcon 9 v1.1",SpaceX,https://en.wikipedia.org/wiki/Falcon_9_v1.1,Retired,5885,13.15,2,0,68.4,56.5,4.85,5.2,13,Falcon 9
172,"Falcon Heavy",SpaceX,https://en.wikipedia.org/wiki/Falcon_Heavy,Active,22819,63.8,2,2,70,90,26.7,5.2,13,Falcon Heavy
173,"Feng Bao 1",CASC,https://en.wikipedia.org/wiki/Feng_Bao_1,Retired,268,2.5,2,0,33,NaN,0,3.35,NaN,Feng Bao 1
174,"Firefly Alpha",Firefly,https://en.wikipedia.org/wiki/Firefly_Alpha,Planned,736,1,2,0,29,15,0,2,5,Firefly Alpha
175,"Firefly Beta",Firefly,https://en.wikipedia.org/wiki/Firefly_Beta,Planned,2208,4,2,2,31,NaN,0.4,2.8,5.5,Firefly Beta
176,"GSLV Mk I",ISRO,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle,Retired,NaN,0,3,4,49.13,47,1.5,3.4,7.8,GSLV
177,"GSLV Mk II",ISRO,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle,Active,7887,5,3,4,51.7,47,2.5,4,7.8,GSLV
178,"GSLV Mk III",ISRO,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III,Active,11898,10,3,2,43.4,62,4,5,NaN,GSLV
179,"H-I (9 SO)",MHI,https://en.wikipedia.org/wiki/H-I,Retired,NaN,3.2,2,9,42,NaN,1.1,2.44,NaN,H-I
180,"H-II",MHI,https://en.wikipedia.org/wiki/H-II,Retired,NaN,10.06,2,2,49,NaN,3.93,NaN,NaN,H-II
181,"H-II (2 SSB)",MHI,https://en.wikipedia.org/wiki/H-II,Retired,NaN,10.06,2,4,49,NaN,3.93,NaN,NaN,H-II
182,"H-IIA 202",MHI,https://en.wikipedia.org/wiki/H-IIA,Active,NaN,10,2,2,53,90,4.1,4.07,12,H-II
183,"H-IIA 2022",MHI,https://en.wikipedia.org/wiki/H-IIA,Retired,NaN,0,2,2,53,NaN,4.5,4.07,12,H-II
184,"H-IIA 2024",MHI,https://en.wikipedia.org/wiki/H-IIA,Retired,NaN,0,2,4,53,NaN,5,4.07,12,H-II
185,"H-IIA 204",MHI,https://en.wikipedia.org/wiki/H-IIA,Active,NaN,15,2,4,NaN,NaN,6,4.07,12,H-II
186,"H-IIB",MHI,https://en.wikipedia.org/wiki/H-IIB,Retired,NaN,16.5,2,4,56.6,112.5,8,5.1,15,H-II
187,"H-III 22",MHI,https://en.wikipedia.org/wiki/H3_(rocket),Planned,2158,0,2,2,63,50,4,5.27,NaN,H-II
188,"H-III 24",MHI,https://en.wikipedia.org/wiki/H3_(rocket),Planned,NaN,0,2,4,50,50,6.5,5.27,NaN,H-II
189,"H-III 30",MHI,https://en.wikipedia.org/wiki/H3_(rocket),Planned,1472,0,2,0,63,50,2.1,5.27,NaN,H-II
190,"H-IIS",MHI,https://en.wikipedia.org/wiki/H-II,Retired,NaN,10.06,2,2,49,NaN,3.93,NaN,NaN,H-II
191,"H-I UM-129A (6SO)",MHI,https://en.wikipedia.org/wiki/H-I,Retired,NaN,3.2,3,6,42,NaN,1.1,2.44,NaN,H-I
192,"H-I UM-129A (9SO)",MHI,https://en.wikipedia.org/wiki/H-I,Retired,NaN,3.2,3,9,42,NaN,1.1,2.44,NaN,H-I
193,"Hyperbola-1",i-Space,https://en.wikipedia.org/wiki/I-Space_(Chinese_company)#Hyperbola-1,Active,557,0.3,4,0,21,NaN,0,1,1.4,Hyperbola-1
194,"Jielong-1",CASC,<undefined>,Active,NaN,0.25,4,0,NaN,7.5,0,1.2,NaN,Jielong-1
195,"Juno I",AMBA,https://en.wikipedia.org/wiki/Juno_I,Retired,416,0.011,4,0,21.2,NaN,0,NaN,NaN,Juno I
196,"Juno II",AMBA,https://en.wikipedia.org/wiki/Juno_II,Retired,667,0.041,4,0,24,NaN,0,NaN,NaN,Juno II
197,"Kaituozhe 1",CASIC,https://en.wikipedia.org/wiki/Kaituozhe_(rocket_family),Retired,NaN,0.1,4,0,NaN,NaN,0,NaN,NaN,Kaituozhe
198,"Kaituozhe 2",CASIC,https://en.wikipedia.org/wiki/Kaituozhe_(rocket_family)#KT-2,Active,NaN,0.35,3,0,NaN,NaN,0,NaN,NaN,Kaituozhe
199,"Kuaizhou 1",CASIC,https://en.wikipedia.org/wiki/Kuaizhou,Retired,NaN,0,3,0,NaN,NaN,0,1.4,4,Kuaizhou
200,"Kuaizhou 11",CASIC,https://en.wikipedia.org/wiki/Kuaizhou,Active,NaN,1.5,3,0,25,28.3,0,2.2,NaN,Kuaizhou
201,"Kuaizhou 1A",CASIC,https://en.wikipedia.org/wiki/Kuaizhou,Active,NaN,0.3,3,0,19.4,NaN,0,1.4,4,Kuaizhou
202,"Lambda-IV S",UT,https://en.wikipedia.org/wiki/Lambda_(rocket_family),Retired,NaN,0.012,4,2,16.5,NaN,0,NaN,NaN,Lambda-IV S
203,"LauncherOne",Virgin Orbit,https://en.wikipedia.org/wiki/LauncherOne,Active,NaN,0.5,2,0,16,12,0,1.3,NaN,LauncherOne
204,"Long March 1",CASC,https://en.wikipedia.org/wiki/Long_March_1,Retired,1101,0.3,3,0,30.45,NaN,0,NaN,NaN,Long March 1
205,"Long March 11",CASC,https://en.wikipedia.org/wiki/Long_March_11,Active,1200,0.53,4,0,20.8,5.3,0,2,NaN,Long March 11
206,"Long March 11A",CASC,https://en.wikipedia.org/wiki/Long_March_11,Planned,NaN,0,4,0,NaN,NaN,0,2.64,NaN,Long March 11
207,"Long March 11H",CASC,https://en.wikipedia.org/wiki/Long_March_11,Active,1176,0.7,4,0,20.8,5.3,0,2,3,Long March 11
208,"Long March 2",CASC,https://en.wikipedia.org/wiki/Long_March_2A,Retired,2786,2,2,0,32,NaN,0,NaN,NaN,Long March 2
209,"Long March 2C",CASC,https://en.wikipedia.org/wiki/Long_March_2C,Active,2962,3.85,2,0,42,30.8,1.25,NaN,NaN,Long March 2
210,"Long March 2C/E",CASC,https://en.wikipedia.org/wiki/Long_March_2C,Active,2962,3.85,3,0,42,30.8,0,NaN,NaN,Long March 2
211,"Long March 2C/SMA",CASC,https://en.wikipedia.org/wiki/Long_March_2C,Active,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Long March 2
212,"Long March 2C/YZ-1S",CASC,https://en.wikipedia.org/wiki/Long_March_2C,Active,2962,3.85,3,0,42,30.8,0,NaN,NaN,Long March 2
213,"Long March 2D",CASC,https://en.wikipedia.org/wiki/Long_March_2D,Active,2962,3.5,2,0,41.06,29.75,0,3.35,10.9,Long March 2
214,"Long March 2D/YZ-3",CASC,https://en.wikipedia.org/wiki/Long_March_2D,Active,2962,0,3,0,NaN,NaN,0,3.35,10.9,Long March 2
215,"Long March 2E",CASC,https://en.wikipedia.org/wiki/Long_March_2E,Retired,5923,9.5,2,4,49.7,NaN,3.5,4.2,3.4,Long March 2
216,"Long March 2F",CASC,https://en.wikipedia.org/wiki/Long_March_2F,Active,6512,8.4,2,4,62,NaN,0,NaN,NaN,Long March 2
217,"Long March 2F/G",CASC,https://en.wikipedia.org/wiki/Long_March_2F,Active,NaN,8.4,2,4,62,NaN,0,NaN,NaN,Long March 2
218,"Long March 2F/T",CASC,https://en.wikipedia.org/wiki/Long_March_2F,Active,NaN,8.4,2,4,58,NaN,0,NaN,NaN,Long March 2
219,"Long March 3",CASC,https://en.wikipedia.org/wiki/Long_March_3,Retired,2962,5,3,0,43.25,NaN,1.5,NaN,NaN,Long March 3
220,"Long March 3A",CASC,https://en.wikipedia.org/wiki/Long_March_3A,Active,2962,8.5,3,0,52.52,69.7,2.6,3.35,8.89,Long March 3
221,"Long March 3B",CASC,https://en.wikipedia.org/wiki/Long_March_3B,Active,5924,11.5,3,4,54.8,NaN,5.1,4,9.56,Long March 3
222,"Long March 3B/E",CASC,https://en.wikipedia.org/wiki/Long_March_3B,Active,5922,11.5,3,4,56.3,29.15,5.5,4.2,9.56,Long March 3
223,"Long March 3B/YZ-1",CASC,https://en.wikipedia.org/wiki/Long_March_3B,Active,5924,0,4,4,NaN,NaN,0,4,9.56,Long March 3
224,"Long March 3C",CASC,https://en.wikipedia.org/wiki/Long_March_3C,Active,5923,0,3,2,55.64,20.14,3.8,4.2,9.78,Long March 3
225,"Long March 3C/E",CASC,https://en.wikipedia.org/wiki/Long_March_3C,Active,5923,0,3,4,54.8,NaN,3.9,4.2,9.8,Long March 3
226,"Long March 3C/YZ-1",CASC,https://en.wikipedia.org/wiki/Long_March_3C,Active,5923,0,4,2,NaN,NaN,0,4.2,9.78,Long March 3
227,"Long March 4A",CASC,https://en.wikipedia.org/wiki/Long_March_4A,Retired,2962,4,3,0,41.9,NaN,0,NaN,NaN,Long March 4
228,"Long March 4B",CASC,https://en.wikipedia.org/wiki/Long_March_4B,Active,2971,4.2,3,0,44.1,64.68,1.5,NaN,NaN,Long March 4
229,"Long March 4C",CASC,https://en.wikipedia.org/wiki/Long_March_4C,Active,2971,4.2,3,0,45.8,64.68,1.5,NaN,NaN,Long March 4
230,"Long March 5",CASC,https://en.wikipedia.org/wiki/Long_March_5,Active,10565,25,3,4,57,NaN,14,5,NaN,Long March 5
231,"Long March 5B",CASC,https://en.wikipedia.org/wiki/Long_March_5,Active,10565,23,2,4,53.66,NaN,0,5.2,20.5,Long March 5
232,"Long March 5/YZ-2",CASC,https://en.wikipedia.org/wiki/Long_March_5,Active,10565,25,3,4,57,NaN,0,5,NaN,Long March 5
233,"Long March 6",CASC,https://en.wikipedia.org/wiki/Long_March_6,Active,1188,1.08,3,0,29.24,NaN,0,2.6,5.7,Long March 6
234,"Long March 6A",CASC,https://en.wikipedia.org/wiki/Long_March_6,Planned,NaN,0,3,4,29.24,NaN,0,2.6,5.7,Long March 6
235,"Long March 7",CASC,https://en.wikipedia.org/wiki/Long_March_7,Active,7200,13.5,2,4,53.1,NaN,5.5,4.2,12.4,Long March 7
236,"Long March 7A",CASC,https://en.wikipedia.org/wiki/Long_March_7,Active,7200,0,3,4,NaN,NaN,7,4.2,12.4,Long March 7
237,"Long March 7/YZ-1A",CASC,https://en.wikipedia.org/wiki/Long_March_7,Active,7200,13.5,3,4,53.1,NaN,5.5,4.2,12.4,Long March 7
238,"Long March 8",CASC,https://en.wikipedia.org/wiki/Long_March_(rocket_family)#Long_March_8,Planned,NaN,7.6,3,2,NaN,NaN,2.5,NaN,NaN,Long March 8
239,"Long March 9",CASC,https://en.wikipedia.org/wiki/Long_March_(rocket_family)#Variants,Planned,NaN,140,3,4,110,NaN,50,NaN,NaN,Long March 9
240,"Mercury-Redstone",NASA,https://en.wikipedia.org/wiki/Mercury-Redstone_Launch_Vehicle,Retired,350,0,1,0,25.4,NaN,0,NaN,NaN,Mercury-Redstone
241,"Minotaur C (Taurus)",Northrop,https://en.wikipedia.org/wiki/Minotaur-C,Active,1607,1.32,4,0,27.9,45,0,2.34,NaN,Minotaur
242,"Minotaur I",Northrop,https://en.wikipedia.org/wiki/Minotaur_I,Active,792,0.58,4,0,19.21,40,0.331,1.27,3.79,Minotaur
243,"Minotaur IV",Northrop,https://en.wikipedia.org/wiki/Minotaur_IV,Active,2200,1.375,4,0,23.88,46,0,2.34,6.4,Minotaur
244,"Minotaur V",Northrop,https://en.wikipedia.org/wiki/Minotaur_V,Active,2224,0.64,5,0,24.56,55,0.532,2.34,6.4,Minotaur
245,"Miura 5",PLD,https://en.wikipedia.org/wiki/PLD_Space#Miura_5,Planned,NaN,0.3,3,0,20.7,NaN,0,NaN,NaN,Miura 5
246,"Molniya",RKK Energiya,https://en.wikipedia.org/wiki/Molniya_(rocket),Retired,3692,0,4,4,43.4,NaN,0,2.6,NaN,Molniya
247,"Molniya-M /Block 2BL",RKK Energiya,https://en.wikipedia.org/wiki/Molniya-M,Retired,4016,0,3,4,43.4,NaN,0,NaN,7.81,Molniya
248,"Molniya-M /Block L",RKK Energiya,https://en.wikipedia.org/wiki/Molniya-M,Retired,4016,0,3,4,43.4,NaN,0,NaN,7.81,Molniya
249,"Molniya-M /Block ML",RKK Energiya,https://en.wikipedia.org/wiki/Molniya-M,Retired,4016,0,3,4,43.4,NaN,0,NaN,7.81,Molniya
250,"Molniya-M /Block NVL",RKK Energiya,https://en.wikipedia.org/wiki/Molniya-M,Retired,4016,0,3,4,43.4,NaN,0,NaN,7.81,Molniya
251,"Molniya-M /Block SO-L",RKK Energiya,https://en.wikipedia.org/wiki/Molniya-M,Retired,4016,0,3,4,43.4,NaN,0,NaN,7.81,Molniya
252,"Molniya-M /Block VL",RKK Energiya,https://en.wikipedia.org/wiki/Molniya-M,Retired,4016,0,3,4,43.4,NaN,0,NaN,7.81,Molniya
253,"MOMO",IST,https://en.wikipedia.org/wiki/Interstellar_Technologies#MOMO_sounding_rocket,Active,83,0,1,0,10,0.44,0,0.5,0.8,MOMO
254,"Mu-III C",ISAS,https://en.wikipedia.org/wiki/Mu_(rocket_family),Retired,NaN,0.195,3,8,NaN,NaN,0,NaN,NaN,Mu-III
255,"Mu-III H",ISAS,https://en.wikipedia.org/wiki/Mu_(rocket_family),Retired,NaN,0.27,4,8,NaN,NaN,0,NaN,NaN,Mu-III
256,"Mu-III S",ISAS,https://en.wikipedia.org/wiki/Mu_(rocket_family),Retired,NaN,0.29,3,8,NaN,NaN,0,NaN,NaN,Mu-III
257,"Mu-III S2",ISAS,https://en.wikipedia.org/wiki/Mu_(rocket_family),Retired,NaN,0.77,4,2,NaN,NaN,0,NaN,NaN,Mu-III
258,"Mu-IV S",ISAS,https://en.wikipedia.org/wiki/Mu_(rocket_family),Retired,NaN,0.18,4,8,23.6,NaN,0,NaN,NaN,Mu-IV S
259,"Mu-V / M-24",ISAS,https://en.m.wikipedia.org/wiki/M-V,Retired,3780,1.8,4,0,30.7,NaN,0,NaN,NaN,Mu-V
