Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Launch Site,Launch Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÑuSat-5,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,0.00,487,507,1.46E-03,97.20,94.5,35,2/2/18,,Jiuquan Satellite Launch Center,Long March 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÑuSat 7,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,0.00,476,490,1.02E-03,97.30,94.2,45,1/15/20,,Taiyuan Launch Center,Long March 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÑuSat 8,Argentina,Satellogic S.A.,Commercial,Earth Observation,LEO,0.00,475,492,1.24E-03,97.30,94.2,45,1/15/20,,Taiyuan Launch Center,Long March 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NuSTAR,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,0.00,613,632,1.36E-03,6.00,97.2,360,6/13/12,2,Kwajalein Island,Pegasus XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 219,USA,National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University,Government/Civil,Space Science,LEO,0.00,624,654,2.14E-03,71.97,97.48,6,11/20/10,0.5,Kodiak Launch Complex,Minotaur 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM02,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,063","8,069",2.08E-04,0.03,287.93,700,6/25/13,,Guiana Space Center,Soyuz-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM03,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,060","8,071",3.81E-04,0.09,287.92,650,7/10/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM04,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,062","8,069",2.42E-04,0.04,287.93,700,6/25/13,,Guiana Space Center,Soyuz-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM05,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,064","8,068",1.39E-04,0.03,287.94,700,6/25/13,,Guiana Space Center,Soyuz-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM06,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,831","7,845",4.93E-04,0.12,281.15,650,7/10/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM07,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,827","7,844",5.98E-04,0.12,281.08,650,7/10/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM08,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,815","7,842",9.51E-04,0.12,280.87,650,7/10/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM09,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,063","8,068",1.73E-04,0.04,287.93,650,12/18/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM10,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,063","8,069",2.08E-04,0.04,287.93,650,12/18/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM11,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,063","8,069",2.08E-04,0.04,287.93,650,12/18/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM12,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,063","8,069",2.08E-04,0.04,287.93,650,12/18/14,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM13,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,062","8,069",2.42E-04,0.05,287.92,650,3/9/18,,Guiana Space Center,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM14,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,062","8,069",2.42E-04,0.05,287.92,650,3/9/18,,Guiana Space Center,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM15,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,062","8,069",2.42E-04,0.05,287.92,650,3/9/18,,Guiana Space Center,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM16,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,062","8,069",2.42E-04,0.05,287.92,650,3/9/18,,Guiana Space Center,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM17,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,838","7,840",7.04E-05,0.04,281.17,700,4/4/19,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM18,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,829","7,839",3.52E-04,0.04,281.02,700,4/4/19,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM19,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,818","7,839",7.40E-04,0.04,280.86,700,4/4/19,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM20,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"7,809","7,839",1.06E-03,0.04,280.73,700,4/4/19,,Guiana Space Center,Soyuz-ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b PFM,United Kingdom,O3b Networks Ltd.,Commercial,Communications,MEO,0.00,"8,063","8,069",2.08E-04,0.03,287.93,700,6/25/13,,Guiana Space Center,Soyuz-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCO 2,USA,National Aeronautics and Space Administration (NASA),Government,Earth Observation,LEO,0.00,701,704,2.12E-04,98.20,98.83,454,7/2/14,2,Vandenberg AFB,Delta 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oculus ASR,USA,Michigan Technological University/Air Force Research Laboratory,Military,Technology Development,Elliptical,0.00,306,853,3.94E-02,28.50,96.2,70,6/25/19,,Cape Canaveral,Falcon Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odin,Sweden,Swedish National Space Board,Government,Earth Observation,LEO,0.00,569,573,2.88E-04,97.60,96.1,250,2/20/01,2,Svobodny Cosmodrome,Start 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 10,Israel,Ministry of Defense,Military,Earth Observation,LEO,0.00,385,601,1.57E-02,140.94,94.47,300,4/9/14,5,Palmachim Launch Complex ,Shavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 11,Israel,Ministry of Defense,Military,Earth Observation,LEO,0.00,386,608,1.62E-02,142.00,94.4,300,9/13/16,5,Palmachim Launch Complex ,Shavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 16,Israel,Ministry of Defense,Military,Earth Observation,LEO,0.00,352,603,1.83E-02,141.12,93.9,300,7/6/20,,Palmachim Launch Complex ,Shavit 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 5,Israel,Ministry of Defense,Military,Earth Observation,LEO,0.00,367,764,2.86E-02,143.40,95.97,300,5/28/02,4,Palmachim Launch Complex ,Shavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 7,Israel,Ministry of Defense,Military,Earth Observation,LEO,0.00,340,576,1.73E-02,141.76,93.75,300,6/10/07,5,Palmachim Launch Complex ,Shavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 9,Israel,Ministry of Defense,Military,Earth Observation,LEO,0.00,343,589,1.80E-02,141.78,93.91,300,6/22/10,5,Palmachim Launch Complex ,Shavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0006,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,995,1019,1.63E-03,87.80,105.2,148,2/27/19,,Guiana Space Center,Soyuz ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0007,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,995,1020,1.69E-03,87.80,105.2,148,2/27/19,,Guiana Space Center,Soyuz ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0008,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,995,1021,1.76E-03,87.80,105.2,148,2/27/19,,Guiana Space Center,Soyuz ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0010,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,995,1021,1.76E-03,87.80,105.2,148,2/27/19,,Guiana Space Center,Soyuz ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0011,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,995,1017,1.49E-03,87.80,105.2,148,2/27/19,,Guiana Space Center,Soyuz ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0012,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,995,1023,1.90E-03,87.80,105.2,148,2/27/19,,Guiana Space Center,Soyuz ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0013,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,439,460,1.54E-03,87.40,93.5,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0017,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,448,474,1.90E-03,87.40,93.8,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0018,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,455,490,2.56E-03,87.40,94,148,3/21/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0019,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,543,582,2.81E-03,87.40,95.9,148,3/21/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0020,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,439,465,1.91E-03,87.40,93.6,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0021,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,439,460,1.54E-03,87.40,93.5,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0022,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,445,467,1.61E-03,87.40,93.7,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0023,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,448,471,1.68E-03,87.40,93.7,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0024,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,446,467,1.54E-03,87.40,93.7,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0025,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,450,476,1.90E-03,87.40,93.7,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneWeb-0026,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,0.00,439,465,1.91E-03,87.40,93.6,148,2/6/20,,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
